Country_id,Country,Region_id
1,Afghanistan,17
2,Albania,18
3,Algeria,11
4,Angola,3
5,Argentina,14
6,Armenia,21
7,Australia,13
8,Austria,22
9,Azerbaijan,21
10,Bahrain,21
11,Bangladesh,17
12,Barbados,2
13,Belarus,9
14,Belgium,22
15,Belize,4
16,Benin,20
17,Bhutan,17
18,Bolivia,14
19,Bosnia and Herzegovina,18
20,Botswana,16
21,Brazil,14
22,Bulgaria,9
23,Burkina Faso,20
24,Burundi,7
25,Cambodia,15
26,Cameroon,3
27,Canada,1
28,Central African Republic,3
29,Chad,3
30,Chile,14
31,China,8
32,Colombia,14
33,Costa Rica,4
34,Cote d'Ivoire,20
35,Croatia,18
36,Cuba,2
37,Cyprus,18
38,Czech Republic,9
39,Democratic Republic of the Congo,3
40,Denmark,12
41,Djibouti,7
42,Dominican Republic,2
43,Ecuador,14
44,Egypt,11
45,El Salvador,4
46,Equatorial Guinea,3
47,Eritrea,7
48,Estonia,12
49,Ethiopia,7
50,Finland,12
51,France,22
52,French Guiana,14
53,Gabon,3
54,Georgia,21
55,Germany,22
56,Ghana,20
57,Greece,18
58,Guadeloupe,2
59,Guatemala,4
60,Guinea,20
61,Guinea-Bissau,20
62,Guyana,14
63,Haiti,2
64,Honduras,4
65,Hong Kong,8
66,Hungary,9
67,India,17
68,Indonesia,15
69,Iran,17
70,Iraq,21
71,Ireland,12
72,Israel,21
73,Italy,18
74,Jamaica,2
75,Japan,8
76,Jordan,21
77,Kazakhstan,5
78,Kenya,7
79,Kuwait,21
80,Kyrgyzstan,5
81,Laos,15
82,Lebanon,21
83,Lesotho,16
84,Liberia,20
85,Libya,11
86,Lithuania,12
87,Luxembourg,22
88,Macedonia,18
89,Madagascar,7
90,Malawi,7
91,Malaysia,15
92,Mali,20
93,Martinique,2
94,Mauritania,20
95,Mexico,4
96,Moldova,9
97,Mongolia,8
98,Montenegro,18
99,Morocco,11
100,Mozambique,7
101,Myanmar (Burma),15
102,Namibia,16
103,Nepal,17
104,Netherlands,22
105,New Zealand,13
106,Nicaragua,4
107,Niger,20
108,Nigeria,20
109,Norway,12
110,Oman,21
111,Pakistan,17
112,Panama,4
113,Papua New Guinea,13
114,Paraguay,14
115,Peru,14
116,Philippines,15
117,Poland,9
118,Portugal,18
119,Qatar,21
120,Republic of the Congo,3
121,Romania,9
122,Russia,9
123,Rwanda,7
124,Saudi Arabia,21
125,Senegal,20
126,Serbia,9
127,Sierra Leone,20
128,Singapore,15
129,Slovakia,9
130,Slovenia,18
131,Somalia,7
132,South Africa,16
133,South Korea,8
134,South Sudan,7
135,Spain,18
136,Sri Lanka,17
137,Sudan,11
138,Suriname,14
139,Swaziland,16
140,Sweden,12
141,Switzerland,22
142,Syria,21
143,Taiwan,8
144,Tajikistan,5
145,Tanzania,7
146,Thailand,15
147,The Gambia,20
148,Togo,20
149,Trinidad and Tobago,2
150,Tunisia,11
151,Turkey,21
152,Turkmenistan,5
153,Uganda,7
154,Ukraine,9
155,United Arab Emirates,21
156,United Kingdom,12
157,United States,19
158,Uruguay,14
159,Uzbekistan,5
160,Venezuela,14
161,Vietnam,15
162,Western Sahara,20
163,Yemen,21
164,Zambia,7
165,Zimbabwe,7